Test,10000kb (x10000),100kb (x100),1kb (x1),1000kb (x1000),10kb (x10),100000kb (x100000)
boon,243340.0,404110.60000000003,226637.255,392474.0,365226.68,
dsljson,869170.0,868598.0,894630.203,921287.0,854030.99,181900.0
dsljson_reflection,696210.0,716618.2,730021.568,747392.0,690189.8600000001,175000.0
fastjson,386190.0,396307.5,305055.618,421055.0,349771.35000000003,71600.0
flatbuffers,797720.0,859691.6,1052501.136,803893.0,813425.7000000001,154700.0
flatbuffers_read_through,896620.0000000001,917720.0999999999,1093200.803,939366.0,844716.68,870900.0
flatbuffers_read_through2,607510.0,641373.6,609509.707,577140.0,601820.8400000001,501600.0
flexjson,85680.0,106646.49999999999,89903.902,101060.0,102935.09,11700.0
genson,428380.0,447932.89999999997,326717.139,448719.0,418077.66000000003,139000.0
gson,380860.0,390574.8,283141.21,390322.0,371729.82000000007,128699.99999999999
jackson,554190.0,586044.0,489694.886,587941.0,544638.84,158700.0
jackson_afterburner,614930.0,648585.1,567289.657,640701.0,606949.5700000001,158100.0
jodd,428650.0,418309.19999999995,391400.641,375384.0,418588.30000000005,136100.0
johnzon,101460.00000000001,141328.6,132662.926,132685.0,142294.28,13900.000000000002
jsoniter,808930.0,794716.7000000001,643189.895,857434.0,768325.39,170700.0
jsonsmart,361650.0,367610.5,339540.561,369492.0,342288.12,125800.0
jvm,246270.0,250841.0,84568.203,253317.0,201950.41,80600.0
kryo,1090780.0,1275174.1,1188940.428,1296556.0,1177871.83,193100.0
logansquare,568130.0,624725.7,298965.366,611973.0,533736.98,149600.0
moshi,272610.0,283742.6,262220.372,292156.0,257646.05,112799.99999999999
protobuf,805410.0,870303.2,1040734.933,899178.0,831265.37,176200.0
yasson,114880.0,121891.59999999999,110368.939,125229.0,114719.56,70300.0
circe,168710.0,300056.80000000005,282799.395,287094.0,301783.66000000003,
